POI_Name,URL
Ted's Corner Tavern,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npYPTwu8GmvciGgD02HEd2ySLeNpjZhm1rM6xoVQAoOAIU9CkyzaVBLzka9QIPVuysVbte2gHM09wtIPyNTyD9osBf5I48SuTIZOwRnY9z3kvGBJpnAJpkgCoWKP5CTg9_MmD93=s1360-w1360-h1020-rw
Silverleaf Tavern,
The Shakespeare,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nosjYrc8ZE-LAv4phMEOOFgGAfEEi06GvW2jeyA9ehUV02GrE1IZr4UvGDyfKF_dDKZjW3QNFL1DGe3wPes_OVZ1iiaM6gwPQ_5UgCpu0gRAB2dv-GLfLNTxvfcsCIYb_JpeCED0A=s1360-w1360-h1020-rw
Mulligan's Pub,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqM2HlMnsDggTnE8unAbQPEeBznseAY-YrGWhlgYf7OPlQhGGwEYHcav2FSYc-EensNkT5l-LbxhuhkJTcaIDmWMpAEqFoVye4_n59EdKdxlVgKhw3mdAFZmpw4UrhDjSHzoTA=s1360-w1360-h1020-rw
Salty Dog,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npfwRcmYdCThF95YiQwPrR4OgH2-UH31XvOS2rrmoY8I6POyr859qVJr16WYHdMbvK90XOWTHxLabWbu6fr3xNqw3MjQ1Jbq68a_GPGbYLTruUQXOkvAwlVHDTJeK9BuoNG-ZERsw=s1360-w1360-h1020-rw
The Junction,https://lh3.googleusercontent.com/p/AF1QipNWeKr3EQ7rVSgjnmdDXoN8V4NSZXiGH3AFlMt1=s1360-w1360-h1020-rw
Bravest,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noSHcq_SVWw1-KjMo9kwBr48synO2XTeiUKqrfjsTCz_3j1EmLQFqisOLYLwVYyV1fsg2KpOIGsXFncElXo9fJDHgOMgU3wHhSARL7bLyyI0vZU2eY8efI-DcgC99lYJaY8x-zd3g=s1360-w1360-h1020-rw
Peter Dillon's Pub,
The Harp,https://lh3.googleusercontent.com/proxy/EqkHZTSflYwV5p6CUmdLuWM9K-kOqHnS-lTk_M2EertMdVaAahfAXeMoh3mf-uQe7NfKQeHEMTq1-HTj9OoULeSZrTdV4TmxDX9WAB4q7e9bATo24GuyP4a3JUNRYp5iw91gpviyG1mlpyanPQrDL05uTCoEblkEMEYoAA=s1360-w1360-h1020-rw
The Pour House,https://s3-media0.fl.yelpcdn.com/bphoto/ZbOJ3Wl2MBuQJszOyYJ_Zg/o.jpg
Bean Post Pub,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npzt6S-dlHKjmeGMba--NX84Fth-WfggJlf-rBTEIAZiJK2ld3-rp00fBF3JQO_PBsBaaypS2hNaWzrMw75f6CK8qKoVU2K3rtaIU7mfNdgxdMZjo7PQ5mSKkVVpEAETfcdDykx=s1360-w1360-h1020-rw
Skinflints,https://s3-media0.fl.yelpcdn.com/bphoto/MxR6ffdlHiKnYVBj4wJ0qA/o.jpg
The Kettle Black,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/d9/01/f2/the-outside-of-the-kettle.jpg?w=600&h=-1&s=1
Delia's Lounge & Restaurant,https://lh3.googleusercontent.com/p/AF1QipOVvxl59FUEBENI7rstVC9rFb0ahUGt65jwXoww=s1360-w1360-h1020-rw
The Wicked Monk,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npVrnGaNnw9qQjksodnroN2YKLc2fJayKNXhIfg9P_p0g2dZuZ3kL11UnF1w1B4Po_WvbTGq9YY5uEJThfqHbegO_aMiBXXaH62-XQiKYwZIt_Ekha-8N5jscanmmpQ44TqYRnS=s1360-w1360-h1020-rw
Kitty Kiernan's,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np-r_BVD-UFtY-qLnZ226vaYsyKdtoCp6-bWqTgtIDIcOqjYoAG5-e7TK7NQ6MGzFkSZEjzdnEd-sAjYn8o1btSMCHXOuL7X1fvmiE88Tved2Mjp3zgb5SGo9AZ-33LKNeDE8OLig=s1360-w1360-h1020-rw
Mansions,https://s3-media0.fl.yelpcdn.com/bphoto/CBxl5NHWSROBQzo_TEyFSA/o.jpg
Basement NYC,https://lh3.googleusercontent.com/p/AF1QipPCwZQ2_8mHEWa-NKwB8mySvO8bcf0WavBWtxMS=s1360-w1360-h1020-rw
Doc Hennigans,https://s3-media0.fl.yelpcdn.com/bphoto/3HJRa_93LBNCGlPJBrixZA/o.jpg
Vixen Lounge & Cabaret Bar,https://lh3.googleusercontent.com/p/AF1QipPpWq9OBWgNF58lZ8YQ1gwdNbwQgtJiYwmgQfJI=s1360-w1360-h1020-rw
Mother Pug's Saloon,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqP-dIooYS70dDy9pBNcD5hdXxnlTue85V_hiKXGj-7BiUpYRAZwvxd46FXxkSq4C0b0PkVAnSoLOJtJ_K6lupCUs8jQR49eX5UFzb9NfZ3LJAV1aO0DIJilRgdyS0X4knvUVx6=s1360-w1360-h1020-rw
Sam Adams Pub,
Chaser McGee's,
The Live Oak,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrlZVYxTFqXhNRzzZYNSOg2d4SXe9ht8EkXmUV2LtYmvxu0m02yg8y0oyQBnXBCgvko1bo11Ucm4N9h1cKNFPBzzMvONQpZWs-rfUylv_leR9zlxEI68ruD0IbxA9YvSnjpDmc=s1360-w1360-h1020-rw
Legend's Pub,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no8OaAoMIXamgGcJaNTtfJETvkmwllytjLVM76oaydmuSV5tpuf5iGPYpMG7oLjZUDHMe_CileDEElEVPNawFH3_H_4UQXXizP3a-C6NmKPdblSk0KMNR1W86BBgYmLBctjF_GC8g=s1360-w1360-h1020-rw
