POI_Name,URL
Staten Island Museum And Institute Of Arts And Sciences,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr73-gXR6Lm4QJ5hzbRMg0vEwfjvUW5tiFZxTGVjAiUSOXIcbosAgMr9qsqQSNCemSxyyXXUSlsK_EdawZA-VxAkRB6oHnyUv81q3FU9pMdbLo6Q2CiUq2UA3ZoQUwRxVTCABgQVA=s1360-w1360-h1020-rw
National Lighthouse Museum,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nplrNzRD-9kCCRP9TA905I-LXYSvB0MSuW0KPpudKw7m56aMJsUiUuqaUo_XUveT7tmWy8R84q7TJV5VzVP8u0S_keVA9Y8OaEMdrwVwwrTeD_xEONcfs0bwQlHPiB4WLzjfSQgldR2ltGC=s1360-w1360-h1020-rw
Brooklyn Museum,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr9nBWgEKe6JGa598bdP7SoBd59KtiBCt5utHnbboblpcItQtNvSw7pSMVTByYrC903TGMtoNV7-KZHQQpTDrVGHCjBE9T3q2-OfLLG-rH9lnWSXAwwcwaWOrG_Cji59h31pWht=s1360-w1360-h1020-rw
Lefferts Historic House,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npcgGwQYQjzQjjdi_AM5tbY6g6AWkhxE6YIMuyCcwu4jlweczBAYIjV6LHt1K2isPJGqiW_rsbLC934uHZ3SJQFLjXUqpZY_EwYtGCde0ASbxaNvqkDQczZxU3BRcXs3NEf2ujhcw=s1360-w1360-h1020-rw
The Noble Maritime Collection,https://s3-media0.fl.yelpcdn.com/bphoto/P4D-0djV-YUDycO1NQebFw/o.jpg
Newhouse Center Of Contemporary Art,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noBov9VXT3mMSkCGZsGFOY0GVhwwml3DwU7UjOMFHda3wckJ7Il9KFMoy8Rgh2l8CxJ3N098I93wra70OmiKgZ15_Ti0WDS2SVuAPUiDIEFNROrrWKhfj1fxb_rKHqZts5U5Nv_Sy0Wigw=s1360-w1360-h1020-rw
Staten Island Museum,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr73-gXR6Lm4QJ5hzbRMg0vEwfjvUW5tiFZxTGVjAiUSOXIcbosAgMr9qsqQSNCemSxyyXXUSlsK_EdawZA-VxAkRB6oHnyUv81q3FU9pMdbLo6Q2CiUq2UA3ZoQUwRxVTCABgQVA=s1360-w1360-h1020-rw
Staten Island Children’s Museum,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/6c/a3/ea/front-entrance-of-the.jpg?w=1400&h=-1&s=1
World Trade Center Educational Tribute,
Museum Of Women’s Resistance,
Erasmus Hall High School,
Mount Vernon Hotel Museum & Garden,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrdPqww4Fvmx4LIjxz0I4wWIcpodPc0ScuwAN9t6Sq-n60FIMlT5mDEz9q-0RWSJXO_qZ1aPVBRADAUtMCSQuBAKeLYC57rqemhxP6aWcaLbrKD8Id-p2MAIrKQ2WUf_Myv8lEm=s1360-w1360-h1020
