POI_Name,URL
Lower East Side Ecology Center,https://www.nycfoodpolicy.org/wp-content/uploads/2023/09/20220426_1432360-1170x959.jpg
De Colores Cmty Yard and Center,https://s3-media0.fl.yelpcdn.com/bphoto/7Xi7OBn4MoLUSaTEq6u84g/o.jpg
Sam And Sadie Koenig Garden,https://upload.wikimedia.org/wikipedia/commons/f/f8/Sam_and_Sadie_Koenig_Garden.jpg
Earth People,
La Casita Garden,https://www.nyrp.org/wp-content/uploads/2021/04/nyrp-la-casita-community-garden-4.webp
Firemen's Memorial Garden,
La Plaza Cultural,https://www.laplazacultural.com/wp-content/uploads/2021/02/4.jpg
Flower Door Garden,https://s3-media0.fl.yelpcdn.com/bphoto/L5cS6GOOYoI7ws8G13HcKg/o.jpg
Green Oasis and Gilbert's Garden,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np1Co6zzxsYQriJ-wiIY8HrmEskyzpRzgmppkG6DGWBqh55kprMPgJCL2y8SYk9HVXbZBAldNfSTgA2YDHtNwzawh3fjJIafJmCeRB_PK81Xd1wnQvXluFt-a6n2AnQ5RrpN9A-=s1360-w1360-h1020-rw
11 BC Serenity Garden,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npEujAO5prB1uPau5yXA_g-0sXxbJ6vF9XQuiy7n_eQGwiWfJDycEHE5JeGbumi8qzybChNvP2bXJk3B9X4Ibi8-gh25Qi5mfNis9r_mGOBEIYUIBdj6ATzXvnLqWbsYgLlhRnPivFgdFIY=s1360-w1360-h1020-rw
Campos Garden,"https://static.wixstatic.com/media/b2a9df_000851e9059b452f92cf36b182bd0ac0~mv2_d_2048_1536_s_2.jpeg/v1/fill/w_1748,h_1536,al_c,q_90,enc_avif,quality_auto/campos%20community%20garden.jpeg"
Yu Suen Garden,
Dry Dock Playground,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np4szoRG665U6cObcEiXxQ2FWfGAiBG92AcxyhFr3cyhkWtujnfwByocv4QWm0iKyuhRn5f2UC1d7MUYUyHr3omzzKs1btvIEYmMAGCl8GEU9X-w_ioZHsecSrGpv1FLjElDPn0=s1360-w1360-h1020-rw
Murphy Brothers Playground,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npk52zCRuCRvXX26bG1eruXSs5eq5jkEvpmu6xvSbvZMl_Jrl9y2Xt4Swat3ws2DI4nrkh3r3ypHBZI_8ZeWoAy3k_8qxIz7lghDq6b3WIwW6ByjTHfHHKjcFelZGVh6EbhwB2I=s1360-w1360-h1020-rw
Owl's Head Park,https://lh3.googleusercontent.com/p/AF1QipM3LAXoUKgJvofkn73wq-Eu79PjyVkKWbUK4n-4=s1360-w1360-h1020-rw
Asser Levy Playground,https://lh3.googleusercontent.com/p/AF1QipPcoP1nDc2s0XvLHyxNKqotloIgfwOM3x160ZGR=s1360-w1360-h1020-rw
Park,
Bellevue South Park,https://lh3.googleusercontent.com/p/AF1QipOV-WAuKFS0sEJ-_1BJETgmTSS8G8si6c9eB9Yo=s1360-w1360-h1020-rw
Vincent F. Albano Jr. Playground,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrdoMqZvqEa5KfzBPQcGPa3F21M3p1SAR5idJZadasxvK74Ou4LBX5LExsvRHtIdedCq9yC0woCPfTGvCrn-39F78GQLWbTreJv7waIGsAr58OgT_S6LUSRRIQPcHAgwDRZPlVkrA=s1360-w1360-h1020-rw
