POI_Name,URL
Sunday Morning,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npTTF5cH5XZ7V1GwAukvPKNhlOjYpZuA3wqFUxbQfWuXw2yP7HPR5z0jIc9ZNCSAnt5oAy27zNYpCpKo942CHg6t7ONh628EPgUqKcUx4GnFWtwD_ODw2OTQ1QLLdPHgnabFdIsvZmUWEQx=s1360-w1360-h1020-rw
Gaia Italian Café,
Tokuyamatcha & Onigirazu Bar,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npxZ77rMWgb_EDWf-5uyJtoy1qbBgi38F25cJ-P5dl_m7ykJdWROAwcW00m0EIDcyKyzhDqMB-hSwAKfWWYQH2MeQudJbReiwEksbTO1lq7tvQzUVYzdhyKghXGB8W96DVnD9yI=s1360-w1360-h1020-rw
Kosmic Community Anti Bar & Coffee Shop,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrqmCdk9zoqm0RsMjiP2znibD6t8gGVgJmw7ULm7GUm8lKglo9KagmyPwNaubcD_pCaBk7dBtbiz51FmXDYzSvooMVB9teyt9RxgPzvK9IRZ-kwtxTNKSr0m-JgaVHnS4LeoNsj=s1360-w1360-h1020
Hekate Café & Elixir Lounge,https://lh3.googleusercontent.com/p/AF1QipNH8hZfM6x3uVab2ogPFeg5dc3P3VL2QENwjHHq=s1360-w1360-h1020
9th St Espresso,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no2576ENzNHx-KVXfhM5UKlSS951aCZ_2djiMKH5OBe9o0u_eBHlFiD4Qwlu-Ou7vBOkW6QVJKv0Ez-FwpCX108aUCkGycGu3qCg3nLOpTZME16Fl2SXv3jcDdD7G_AbsXmaYrA=s1360-w1360-h1020
Borris & Horton,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noaw0brQ1Y5hlc3dcXmgOJv4DgvwbwdKDjdlfdd0Ij3zwpeoB8OU-5IeS3nfyfEF1TR9TDiK0uQbMk8w6rdaZv5u6rR5epWlprYNPp0E5EUJ9uHmRravIzoxqKZQnQCNSZoIMsrvA=s1360-w1360-h1020
Starbucks,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqPflOxkvXGAH0kMvuKp6BSNeItI1VsUsM3wfGScFLQay7aWPfmVqFC8GdcOsgwAv_gwG7EXStiK-73XH_BK3IWO6ZKzV4wiN2d7iaj9ltCn8RI8Y3GdIGqsngpJqaEV9VcZ7Y-=s1360-w1360-h1020-rw
Five Stuy Cafe,https://lh3.googleusercontent.com/p/AF1QipMdUsct7ihO81SomzaRiDO085zvfCRmPiiS2KJ7=s1360-w1360-h1020-rw
Rosemary’s East,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq8OA1x7R0y-Fety1_vtbtY4K8CnRzDYrv77l_G-Is-OSwAmW_fTxB8FwWpwLrsWIvHLesZXZgTVJRPZkqhdoVWw1imXQgkDXUCaMjRpZfmxCmtKl3b7orq06_0wbl7dTR23XiMcw=s1360-w1360-h1020-rw
Starbucks,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqPflOxkvXGAH0kMvuKp6BSNeItI1VsUsM3wfGScFLQay7aWPfmVqFC8GdcOsgwAv_gwG7EXStiK-73XH_BK3IWO6ZKzV4wiN2d7iaj9ltCn8RI8Y3GdIGqsngpJqaEV9VcZ7Y-=s1360-w1360-h1020-rw
Sunflower Gramercy,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrOGEuVXlbu3muAkujMRRBwNHSFkrSvRyw_u7vgY-qXq5u6GwMbcLKOgCccRBsqFtU4GEr2w2KuJdYi-preFlApTarEszaWDLAMqulOkzxSrM7Kj8b9kssaid_jL5DkgSdY4MVv=s1360-w1360-h1020-rw
Matto Espresso,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nomqaUuVbmZE_Kb8kvBHPjWnDI3ztW3QE5bv1fwPgdGmLqUwmtZNjx42z15XerrjJnZw-DWNJ4vSXi0ytbEPCxtNW8goC-0tpES0EOBJGzI3g59Qu8YvzWx4SZrbjW5-tLVMz4XJQ=s1360-w1360-h1020-rw
Pier 69 Market,https://lh3.googleusercontent.com/p/AF1QipNttQOaDwY70db3Qz6tWTExU2zS8UTWByJfU3uy=s1360-w1360-h1020-rw
Starbucks,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqPflOxkvXGAH0kMvuKp6BSNeItI1VsUsM3wfGScFLQay7aWPfmVqFC8GdcOsgwAv_gwG7EXStiK-73XH_BK3IWO6ZKzV4wiN2d7iaj9ltCn8RI8Y3GdIGqsngpJqaEV9VcZ7Y-=s1360-w1360-h1020-rw
Proof Coffee Roasters,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq2v6Iv2HyaPoAFg9Egoq-DfBoIxTcG6nhFDch9PGNwFnutCcGkKcNLF9cE5wauf8nUC6--NRzaliCUMsPP0jS4a5vpQStBKRUCjudkepqc8x2J5ZOtm3EU82Ui26yxeQOfXsUbxQ=s1360-w1360-h1020
Penelope,
16 Handles,https://lh3.googleusercontent.com/p/AF1QipO2bEFHQIgsHWkPGY_B9PGzVnNjdY1Lft3clSSP=s1360-w1360-h1020
Sahola Coffee Shop,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npD8ZEB8hBE_2-hJMNKxKpKbxJpX2XIN0DVhdIYkLedSJGupMrJigiGI_HYv8Eq0LOhwypYSn9TQOzdytcEuOqF9_kx-RcjYDwMQvfd3oy3x-o3aHqjfTiTnszgKE1Sek0EVVxVW_sY0fCg=s1360-w1360-h1020-rw
Birch Coffee,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrqFrszsmBlXUw9jCiqZcDdWv6bKuffmjUoy9KKs3BorbSQcTXS76vgXUt2bFUgo9o4ABBN2xFh0b2zUGLQWnePepwxCedxRXoH7fG7KszWkbE7810O7EVwH-tSWFSCmQVz6UIQ=s1360-w1360-h1020-rw
