timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1751382027033,22,POST Park Travel Plan,201,,Thread Group 1-7,text,true,,632,483,7,7,http://137.43.49.25:443/api/userplans,22,0,0
1751382027033,26,POST Travel Plans,201,,Thread Group 1-11,text,true,,1048,979,7,7,http://137.43.49.25:443/api/userplans/multiple,26,0,0
1751382027043,20,Delete Account,204,,Thread Group 1-9,,true,,393,317,7,7,http://137.43.49.25:443/api/user,0,0,0
1751382027064,11,GET POI Types,200,,Thread Group 1-9,text,true,,700,130,7,7,http://137.43.49.25:443/api/poitypes,11,0,0
1751382027060,23,Delete Museum Travel Plan,204,,Thread Group 1-11,,true,,393,295,7,7,http://137.43.49.25:443/api/userplans/3738,0,0,0
1751382027084,25,Delete Parts of Travel Plan,204,,Thread Group 1-11,,true,,393,303,7,7,http://137.43.49.25:443/api/userplans,0,0,0
1751382027109,14,GET Travel Plans,200,,Thread Group 1-11,text,true,,932,268,7,7,http://137.43.49.25:443/api/userplans,14,0,0
1751382027075,69,GET Weather,200,,Thread Group 1-9,text,true,,18980,163,7,7,http://137.43.49.25:443/api/weather?latitude=40.728&longitude=-73.999,66,0,0
1751382027000,146,Post Login,200,,Thread Group 1-8,,true,,490,233,7,7,http://137.43.49.25:443/api/login,146,0,0
1751382027145,46,GET Zone Busyness,200,,Thread Group 1-9,text,true,,487,185,7,7,http://137.43.49.25:443/api/zones/114?predictedHours=3&dateTime=2025-07-13T09:00:00.000000Z,45,0,0
1751382027146,45,GET CSRF Token,200,,Thread Group 1-8,text,true,,564,185,7,7,http://137.43.49.25:443/api/csrf-token,44,0,0
1751382027124,78,PUT Travel Plan,200,,Thread Group 1-11,text,true,,632,462,7,7,http://137.43.49.25:443/api/userplans/3744,78,0,0
1751382027203,7,Post Logout,200,,Thread Group 1-11,,true,,498,317,7,7,http://137.43.49.25:443/api/logout,7,0,0
1751382027191,24,Post User Picture,201,,Thread Group 1-8,text,true,,578,9344,7,7,http://137.43.49.25:443/api/user/picture,24,0,0
1751382027035,185,Post Login,200,,Thread Group 1-10,,true,,490,234,7,7,http://137.43.49.25:443/api/login,185,0,0
1751382027220,9,GET CSRF Token,200,,Thread Group 1-10,text,true,,564,185,7,7,http://137.43.49.25:443/api/csrf-token,9,0,0
1751382027215,26,GET User Details,200,,Thread Group 1-8,text,true,,620,231,7,7,http://137.43.49.25:443/api/user,25,0,0
1751382027241,11,GET User Picture,200,,Thread Group 1-8,bin,true,,9295,231,7,7,http://137.43.49.25:443/api/user/picture/user_696_istockphoto-1337144146-612x612.jpg,11,0,0
1751382027229,23,Post User Picture,201,,Thread Group 1-10,text,true,,578,9347,7,7,http://137.43.49.25:443/api/user/picture,23,0,0
1751382027253,13,GET User Details,200,,Thread Group 1-10,text,true,,621,231,7,7,http://137.43.49.25:443/api/user,13,0,0
1751382027267,9,GET User Picture,200,,Thread Group 1-10,bin,true,,9295,231,7,7,http://137.43.49.25:443/api/user/picture/user_697_istockphoto-1337144146-612x612.jpg,9,0,0
1751382027191,210,Post Account,201,,Thread Group 1-9,text,true,,582,247,7,7,http://137.43.49.25:443/api/register,210,0,0
1751382027211,194,Post Login,200,,Thread Group 1-11,,true,,490,234,7,7,http://137.43.49.25:443/api/login,194,0,0
1751382027405,9,GET CSRF Token,200,,Thread Group 1-11,text,true,,564,185,7,7,http://137.43.49.25:443/api/csrf-token,9,0,0
1751382027252,165,PUT User Details,200,,Thread Group 1-8,text,true,,620,310,7,7,http://137.43.49.25:443/api/user,165,0,0
1751382026833,585,GET List of Recommendations,200,,Thread Group 1-12,text,true,,1217,1360,7,7,http://137.43.49.25:443/api/pois/recommendation,575,0,0
1751382027415,27,Delete Account,204,,Thread Group 1-11,,true,,393,317,7,7,http://137.43.49.25:443/api/user,0,0,0
1751382027417,25,GET Museum Recommendations,200,,Thread Group 1-8,text,true,,37238,328,7,7,http://137.43.49.25:443/api/pois?poiTypeName=museum&dateTime=2025-07-13T09:30:00.000000Z&limit=1000&transitType=bus&latitude=40.728&longitude=-73.999,21,0,0
1751382027277,165,PUT User Details,200,,Thread Group 1-10,text,true,,621,310,7,7,http://137.43.49.25:443/api/user,165,0,0
1751382027419,25,POST Travel Plans,201,,Thread Group 1-12,text,true,,1048,979,7,7,http://137.43.49.25:443/api/userplans/multiple,25,0,0
1751382027443,10,GET POI Types,200,,Thread Group 1-11,text,true,,700,130,7,7,http://137.43.49.25:443/api/poitypes,10,0,0
1751382027443,25,GET Museum Recommendations,200,,Thread Group 1-10,text,true,,37238,328,7,7,http://137.43.49.25:443/api/pois?poiTypeName=museum&dateTime=2025-07-13T09:30:00.000000Z&limit=1000&transitType=bus&latitude=40.728&longitude=-73.999,16,0,0
1751382027445,23,Delete Museum Travel Plan,204,,Thread Group 1-12,,true,,393,295,7,7,http://137.43.49.25:443/api/userplans/3743,0,0,0
1751382027443,28,POST Museum Travel Plan,201,,Thread Group 1-8,text,true,,634,492,7,7,http://137.43.49.25:443/api/userplans,28,0,0
1751382027056,428,GET List of Recommendations,200,,Thread Group 1-7,text,true,,1217,1360,7,7,http://137.43.49.25:443/api/pois/recommendation,418,0,0
1751382027468,26,POST Museum Travel Plan,201,,Thread Group 1-10,text,true,,634,492,7,7,http://137.43.49.25:443/api/userplans,25,0,0
1751382027468,27,Delete Parts of Travel Plan,204,,Thread Group 1-12,,true,,393,303,7,7,http://137.43.49.25:443/api/userplans,0,0,0
